CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Lung Cancer,Death,2012,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,23,40.38559463,39.93172903,14,49.6964964,9,31.27171647,21,51.20327701,,,,,,,,,,,,,,,5,30.96742227,18,263.3504023
Lung Cancer,Death,2012,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,9,29.89040186,31.47116554,,,6,38.77722484,,,,,,,,,,,,,,,,,,,7,197.740113
Lung Cancer,Death,2012,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,22,42.34841193,42.18452523,10,39.71090461,12,44.82964734,21,55.08485691,,,,,,,,,,,,,,,,,19,297.6190476
Lung Cancer,Death,2012,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,26,31.62439944,32.10961739,13,32.50893996,13,30.78671908,18,47.29250414,,,,,5,91.10787172,,,,,,,,,6,27.62812543,19,186.9894695
Lung Cancer,Death,2012,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,215,34.95406386,35.0120214,120,38.58992417,95,31.23653952,178,48.7716664,6,32.30148048,7,7.763802932,21,18.4039402,,,,,,,,,35,24.12495347,176,231.3871396
Lung Cancer,Death,2012,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,31,40.84698194,31.19441246,17,43.5183289,14,38.01352195,31,51.20581434,,,,,,,,,,,,,,,,,27,212.0141343
Lung Cancer,Death,2012,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,34,21.23818626,27.83820904,23,28.7094479,11,13.75412624,20,26.36748362,,,,,12,21.08592514,,,,,,,,,8,17.30290905,26,168.1541845
Lung Cancer,Death,2012,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,34,37.66979104,29.5480761,11,25.10441153,23,49.52520402,30,49.98250612,,,,,,,,,,,,,,,,,29,203.4088518
Lung Cancer,Death,2012,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,86,56.41526886,53.47560851,48,63.22194855,38,49.66151755,73,87.36341986,,,,,5,24.40095652,,,,,,,,,16,43.99230135,69,350.6275725
Lung Cancer,Death,2012,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,13,20.5527098,22.13498469,10,29.0149427,,,13,27.38052613,,,,,,,,,,,,,,,,,12,160.3634906
Lung Cancer,Death,2012,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,17,24.96768887,34.95561164,11,32.61578604,6,17.46114894,11,31.8997767,,,,,,,,,,,,,,,,,13,201.8320137
Lung Cancer,Death,2012,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,179,34.79768741,33.89836797,85,32.43705304,94,37.24896575,145,48.47115298,5,35.57705991,10,6.652386211,13,41.0690592,6,31.20936281,,,,,,,39,30.73843171,139,218.0563181
Lung Cancer,Death,2012,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,47,40.02486651,31.073247,18,31.53634564,29,48.05302403,41,48.0882008,,,,,,,,,,,,,,,6,17.99802022,41,212.8432747
Lung Cancer,Death,2012,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,66,40.93708714,40.43281211,35,43.72922862,31,38.18439367,47,64.04753144,,,5,8.057498308,8,63.61323155,,,,,,,,,17,43.3905919,49,255.9816111
Lung Cancer,Death,2012,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,26,27.22513089,20.59824516,13,27.67783006,13,26.78700212,25,33.78743648,,,,,,,,,,,,,,,7,23.65424256,19,129.5513432
Lung Cancer,Death,2012,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,40,39.18495298,45.06955294,19,36.88962237,21,41.52249135,32,74.04493602,,,,,,,,,,,,,,,9,37.10728127,30,282.9654782
Lung Cancer,Death,2012,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,195,33.51384981,30.59599329,92,32.10844278,103,34.8774211,161,51.3466537,,,13,7.484986844,14,22.39892485,5,22.6777939,,,,,,,43,27.68584931,152,195.2397467
Lung Cancer,Death,2012,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,63,38.08073115,41.62377635,31,37.79427721,32,38.36240484,52,74.52953233,,,7,9.03272427,,,,,,,,,,,17,43.31430901,46,252.1791568
Lung Cancer,Death,2012,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,23,47.7505346,34.48212736,13,54.09904286,10,41.43016945,19,70.52186178,,,,,,,,,,,,,,,,,19,216.3023679
Lung Cancer,Death,2012,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,35,31.55228213,28.58005257,13,24.2388082,22,38.39843614,26,40.54011913,,,,,7,25.45454545,,,,,,,,,9,29.59942117,26,183.9145505
Lung Cancer,Death,2012,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2012,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,18,20.59850089,20.3225568,7,16.39459447,11,24.6151092,14,24.21768237,,,,,,,,,,,,,,,,,17,143.3268696
Lung Cancer,Death,2012,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,13,36.48098779,36.66514392,6,33.54766564,7,39.43661972,11,44.12708601,,,,,,,,,,,,,,,,,10,233.6994625
Lung Cancer,Death,2012,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,25,27.33285956,24.27953197,12,26.82043717,13,27.82355585,23,51.23407289,,,,,,,,,,,,,,,5,23.70454653,20,164.1631782
Lung Cancer,Death,2012,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,14,59.44041099,39.85371017,8,67.69334913,6,51.12910098,13,88.73114463,,,,,,,,,,,,,,,,,10,235.5712603
Lung Cancer,Death,2012,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,142,29.99932396,33.73749434,68,28.89755816,74,31.08851825,85,89.59251217,,,32,11.18920242,20,32.9619619,,,,,,,,,29,26.60013575,112,221.8217108
Lung Cancer,Death,2012,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,55,47.16859772,44.18120851,18,32.06384267,37,61.19242537,38,186.0920666,,,10,11.93032689,,,,,,,,,,,16,58.95357406,39,263.6560303
Lung Cancer,Death,2012,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,11,47.44037607,38.41914215,,,7,70.18247443,10,59.29439668,,,,,,,,,,,,,,,,,9,248.9626556
Lung Cancer,Death,2012,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,16,27.23311547,31.14887883,8,26.59662888,8,27.90081261,8,125,,,,,5,47.30368969,,,,,,,,,,,14,232.0185615
Lung Cancer,Death,2012,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,38,28.02525223,34.39417278,26,38.13546892,12,17.80045688,17,86.40406607,,,13,13.76754038,7,53.69745321,,,,,,,,,6,19.41496246,31,230.5175491
Lung Cancer,Death,2012,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,22,15.80346239,22.0159399,12,17.72368771,10,13.9852316,12,38.0783144,,,6,9.042817742,,,,,,,,,,,,,19,150.7697191
Lung Cancer,Death,2012,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1107,35.09190147,34.99412921,597,37.79531148,510,32.38068511,832,56.0303318,53,39.75427358,100,9.479266001,108,29.955649,14,11.58192558,,,,,7,0.792205602,236,30.46820333,864,223.7536224
Lung Cancer,Death,2013,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,136,27.75057134,35.22072038,82,32.77168526,54,22.51275723,69,48.90980748,29,57.30319317,12,5.552907641,25,37.94202459,,,,,,,,,33,29.99154784,101,218.5957926
Lung Cancer,Death,2013,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,50,29.79737783,36.6962969,35,38.26558503,15,19.6504834,32,39.2512818,8,77.24244472,,,6,67.13662303,,,,,,,,,8,20.32830208,42,242.2564458
Lung Cancer,Death,2013,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,34,20.61905686,29.76268022,20,24.35371333,14,16.91372791,22,48.67041281,,,,,6,24.62043496,,,,,,,,,10,29.00736787,23,170.5725304
Lung Cancer,Death,2013,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,52,33.04020739,39.02536985,27,35.23562191,25,30.95706874,15,104.5441873,18,79.54394803,6,7.253209545,13,39.89810637,,,,,,,,,15,41.43303041,36,234.0245726
Lung Cancer,Death,2013,East Region,99,99,REGION EAST,99,,99,,99,East Region,209,44.30669561,40.30278413,118,50.74919575,91,38.04411445,176,63.44697311,7,28.63102785,14,11.12020143,9,40.98547293,,,,,,,,,55,43.18094386,153,239.4328727
Lung Cancer,Death,2013,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,7,45.35147392,33.41831941,,,,,6,51.20327701,,,,,,,,,,,,,,,,,5,193.723363
Lung Cancer,Death,2013,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,38,30.12119819,29.0043347,23,37.20538993,15,23.31437098,34,46.59768382,,,,,,,,,,,,,,,12,37.76910487,25,154.7891771
Lung Cancer,Death,2013,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,72,51.00631203,47.41273588,42,60.61305778,30,41.7437767,64,75.70739093,,,,,,,,,,,,,,,19,51.64727629,52,272.5081228
Lung Cancer,Death,2013,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,7,38.02074847,47.33115204,,,,,7,71.69192954,,,,,,,,,,,,,,,,,7,298.253089
Lung Cancer,Death,2013,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,25,41.41815772,32.81960035,14,48.3960177,11,34.99618223,21,56.79666793,,,,,,,,,,,,,,,5,32.34780358,20,214.3622722
Lung Cancer,Death,2013,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,24,41.94191045,40.420983,13,45.87641599,11,38.08204951,22,53.62191674,,,,,,,,,,,,,,,6,37.32968332,18,249.8611882
Lung Cancer,Death,2013,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,9,29.88643156,29.68554668,9,61.43764079,,,6,65.58093781,,,,,,,,,,,,,,,,,5,138.5041551
Lung Cancer,Death,2013,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,30,57.3405455,52.81519385,14,55.24207868,16,59.31198102,26,68.05213841,,,,,,,,,,,,,,,8,53.58338915,22,322.7226053
Lung Cancer,Death,2013,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,30,36.37554109,34.95725427,16,39.88035892,14,33.05550965,21,55.56143507,,,,,,,,,,,,,,,9,41.65702384,21,200.8608321
Lung Cancer,Death,2013,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,198,32.00920831,31.25564721,94,30.09463803,104,33.96206698,168,46.10723225,,,7,7.582158099,20,17.22059583,,,,,,,,,33,22.68930096,164,209.8823891
Lung Cancer,Death,2013,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,27,35.53099092,26.53316181,13,33.19883549,14,38.01042572,25,41.42776655,,,,,,,,,,,,,,,,,24,186.1042184
Lung Cancer,Death,2013,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,41,25.46900236,31.320446,23,28.60625358,18,22.33860359,30,39.56583095,,,,,10,17.35267578,,,,,,,,,12,25.65802134,29,177.8159299
Lung Cancer,Death,2013,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,38,41.97271773,33.30270698,21,47.70775592,17,36.54577896,33,55.17379746,,,,,,,,,,,,,,,,,33,225.9036145
Lung Cancer,Death,2013,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,74,48.12663809,44.48053281,31,40.52022744,43,55.65910738,63,75.23376205,,,,,6,28.63961814,,,,,,,,,12,32.77166344,62,305.4036747
Lung Cancer,Death,2013,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,12,19.1040214,20.29424482,,,9,31.26954346,11,23.46116111,,,,,,,,,,,,,,,,,10,132.9787234
Lung Cancer,Death,2013,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,6,8.646654465,10.96959096,,,,,6,17.26966583,,,,,,,,,,,,,,,,,6,92.29349331
Lung Cancer,Death,2013,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,182,35.4910736,34.2789566,91,35.03543969,91,35.95871465,142,47.91340496,6,45.80152672,12,7.871794704,19,59.70712086,,,,,,,,,33,26.08200816,149,226.9404167
Lung Cancer,Death,2013,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,39,32.98571465,23.87580505,17,29.582195,22,36.20445644,32,37.470726,,,,,,,,,,,,,,,9,26.87369364,30,151.156346
Lung Cancer,Death,2013,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,66,40.85928311,41.47237011,36,44.96402878,30,36.8251786,46,63.0214684,,,,,11,86.6346381,,,,,,,,,15,38.69569704,51,261.9414484
Lung Cancer,Death,2013,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,38,39.49570224,31.61256018,15,31.66293748,23,47.09351133,35,47.15138288,,,,,,,,,,,,,,,,,34,221.0806945
Lung Cancer,Death,2013,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,39,37.9550962,44.21534132,23,44.46162768,16,31.35840699,29,67.65899865,,,,,,,,,,,,,,,5,20.53978556,34,311.6978365
Lung Cancer,Death,2013,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,235,40.20468462,35.47146692,132,45.83540229,103,34.73603982,204,65.43536974,,,10,5.632089393,14,22.05731752,5,22.62136362,,,,,,,59,38.04635206,175,216.9304955
Lung Cancer,Death,2013,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,7,141.7577967,60.2428222,,,,,5,182.5483753,,,,,,,,,,,,,,,,,5,303.9513678
Lung Cancer,Death,2013,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,75,45.19188474,47.20111621,43,52.19903614,32,38.28575531,67,96.94970192,,,7,8.887760284,,,,,,,,,,,20,51.17576316,55,292.6933106
Lung Cancer,Death,2013,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,29,59.88394904,43.16341574,15,62.08352303,14,57.69389269,29,108.4720404,,,,,,,,,,,,,,,,,24,264.5502646
Lung Cancer,Death,2013,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,46,41.2149449,38.16428231,25,46.2877245,21,36.45833333,33,51.51340129,,,,,11,39.2003136,,,,,,,,,13,42.39637348,33,226.3840296
Lung Cancer,Death,2013,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2013,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,27,30.7755437,25.83344059,17,39.64274887,10,22.29704118,25,43.34032557,,,,,,,,,,,,,,,6,21.96916993,21,168.7831538
Lung Cancer,Death,2013,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,18,50.23582931,41.99201073,10,55.70720294,8,44.74272931,18,72.24853496,,,,,,,,,,,,,,,9,81.62524941,9,195.7798564
Lung Cancer,Death,2013,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,20,21.76207523,19.00080255,10,22.21580432,10,21.32650885,18,40.36960617,,,,,,,,,,,,,,,,,20,160.5136437
Lung Cancer,Death,2013,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,9,38.03084724,26.77656777,7,59.13161007,,,6,41.32231405,,,,,,,,,,,,,,,,,7,158.9103292
Lung Cancer,Death,2013,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,144,30.1952627,33.50976512,78,32.94517163,66,27.48408214,70,74.51326868,6,34.46889183,45,15.48440376,21,34.28515453,,,,,,,,,22,19.97548463,120,232.7024511
Lung Cancer,Death,2013,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,57,48.9770667,46.83245967,27,48.1755732,30,49.72155927,28,140.9159537,,,19,22.50331628,7,116.0477454,,,,,,,,,10,36.8690779,46,308.9944247
Lung Cancer,Death,2013,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,8,34.48127236,28.32171348,,,5,50,7,41.92118817,,,,,,,,,,,,,,,,,7,196.9057665
Lung Cancer,Death,2013,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,21,35.80867934,40.92059925,14,46.71026291,7,24.41321103,,,,,9,23.45888179,7,66.62225183,,,,,,,,,,,21,352.2898842
Lung Cancer,Death,2013,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,36,26.32983975,31.23787764,18,26.21651932,18,26.44414409,18,92.51169245,,,12,12.49700593,,,,,,,,,,,8,25.68630599,28,202.3852548
Lung Cancer,Death,2013,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,22,15.49928844,19.27528765,16,23.22880372,6,8.212203334,13,40.96939901,,,5,7.316252323,,,,,,,,,,,,,18,135.0337584
Lung Cancer,Death,2013,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
